Product url,Brand,Model,Type,Price,Capacity - mAh,EnergyPerCell - Watts,Max Discharge A,Num Cells4V,Weight,Current Ah,min Cost,Kwh for Min cost,Chemistry,Voltage,availability,Cost KwH,LowPriceQty,LowPrice,Density W/KG,LC Min Price,LC KwH
https://eu.nkon.nl/keeppower-18650-3200-li-ion.html,Keeppower,18650,18650,8.95,3150,11.34,8.00,15,47,8.00,134.25,0.16,Li-ion,3.6,In stock,789.24,No offers,8.95,228.77,134.25,789.24
https://eu.nkon.nl/keeppower-18650-2600-li-ion.html,Keeppower,P1826K,18650,7.25,2550,9.18,5.20,15,53,"2,550.00",108.75,0.13,Li-ion,3.6,In stock,789.76,No offers,7.25,164.23,108.75,789.76
https://eu.nkon.nl/everactive-micro-usb-18650-3200mah-protected-7a.html,Everactive,3200 series,18650,8.95,3050,10.98,7.00,15,92,"3,050.00",134.25,0.16,Li-ion,3.6,In stock,815.12,No offers,8.95,113.16,134.25,815.12
https://eu.nkon.nl/nitecore-18650-nl1834r-usb-3400mah-30.html,Nitecore,NL1834R,18650,9.95,3350,12.06,2.00,15,48,"3,350.00",149.25,0.17,Li-ion,3.6,In stock,825.04,No offers,9.95,238.22,149.25,825.04
https://eu.nkon.nl/nitecore-18650-nl1826-2600mah-4a.html,Nitecore,NL1826,18650,7.95,2550,9.18,4.00,15,50,"2,550.00",119.25,0.13,Li-ion,3.6,In stock,866.01,No offers,7.95,174.08,119.25,866.01
https://eu.nkon.nl/rechargeable/li-ion/enercig-ec-bnf-inr18350-1100mah-10a.html,Enercig,EC-BNF-INR18350,TBA,3.45,1050,3.7800000000000002,10.00,15,23,"1,050.00",51.75,0.05,Li-ion,3.6,In stock,912.7,No offers,3.45,155.83,51.75,912.7
https://eu.nkon.nl/rechargeable/li-ion/keeppower-17500-1200mah-protected-3-4a.html,Keeppower,P1750C,TBA,4.95,1150,4.14,2.40,15,29,2.40,74.25,0.06,Li-ion,3.6,In stock,1195.65,Buy 200 times for,3.95,135.36,59.25,954.11
https://eu.nkon.nl/eagletac-18650-3500.html,EagleTac,18650,18650,11.95,3450,12.420000000000002,10.00,15,48,10.00,179.25,0.18,Li-ion,3.6,In stock,962.16,No offers,11.95,245.33,179.25,962.16
https://eu.nkon.nl/nitecore-18650-nl1826r-usb-2600mah-30a.html,Nitecore,NL1826R,18650,8.95,2550,9.18,5.00,15,48,"2,550.00",134.25,0.13,Li-ion,3.6,In stock,974.95,No offers,8.95,181.33,134.25,974.95
https://eu.nkon.nl/rechargeable/li-ion/keeppower-16650-2500mah-protected-7a.html,Keeppower,P1665J,TBA,8.75,2450,8.82,4.00,15,41,"2,450.00",131.25,0.13,Li-ion,3.6,In stock,992.06,No offers,8.75,203.97,131.25,992.06
https://eu.nkon.nl/sony-konion-us18650vtc5a-2600mah-35a-met-button-top.html,Sony,US18650VTC5A,18650,8.95,2500,9.0,35.00,15,49,"2,500.00",134.25,0.13,Li-ion,3.6,In stock,994.44,No offers,8.95,174.15,134.25,994.44
https://eu.nkon.nl/xtar-18650-3500-protected-10a.html,Xtar,18650,18650,13.95,3450,12.420000000000002,10.00,15,51,10.00,209.25,0.18,Li-ion,3.6,In stock,1123.19,Buy 20 times for,12.45,230.9,186.75,1002.42
https://eu.nkon.nl/nitecore-18650-nl1832-3200mah-30a.html,Nitecore,NL1832,18650,13.95,3150,11.34,2.00,15,48,"3,150.00",209.25,0.16,Li-ion,3.6,In stock,1230.16,Buy 100 times for,11.95,224.0,179.25,1053.79
https://eu.nkon.nl/rechargeable/li-ion/vapcell-18350-1100-10a.html,Vapcell,INR18350,TBA,4.45,1100,3.96,10.00,15,25,"1,100.00",66.75,0.06,Li-ion,3.6,In stock,1123.74,No offers,4.45,150.19,66.75,1123.74
