Product url,Brand,Model,Price,Capacity - mAh,Max Discharge A,Num Cells4V,Weight,Current Ah,min Cost,Kwh for Min cost,Chemistry,Voltage,availability,Cost KwH,LowPriceQty,LowPrice,Density W/KG,LC Min Price,LC KwH
https://eu.nkon.nl/eve-lf230-prismatic-230ah-230a-lifepo4-b-grade.html,EVE,LF230,94.95,230000.0,230.00,16,4110,230.00,1519.2,11.78,LiFePO4,3.2,Out of stock,129.01,No offers,94.95,179.08,1519.2,129.01
https://eu.nkon.nl/eve-lf280k-prismatic-280ah-lifepo4-3-2v-a-grade-no-terminal.html,EVE,LiFePO4,122.95,280000.0,Not set,16,5420,200.00,1967.2,14.34,LiFePO4,3.2,In stock,137.22,Buy 64 times for,115.65,165.31,1850.4,129.07
https://eu.nkon.nl/tb-40138-he-20ah-60a-lifepo4-3-2v.html,Topband,TB-40138-HE,8.85,20000.0,60.00,16,422,140.00,141.6,1.02,LiFePO4,3.2,Expected shipping date: 12 januari 2024 (in 24 days),138.28,Buy 16 times for,8.45,151.66,135.2,132.03
https://eu.nkon.nl/eve-inr18650-26v-2550mah-7-65a.html,EVE,ICR18650-26V,1.75,2500.0,7.65,15,46,"2,500.00",26.25,0.13,Li-ion,3.6,Out of stock,194.44,Buy 600 times for,1.19,185.51,17.85,132.22
https://eu.nkon.nl/tb-33138-he-15ah-30a-lifepo4-3-2v.html,Topband,32140FS,6.65,15000.0,30.00,16,300,140.00,106.4,0.77,LiFePO4,3.2,Expected shipping date: 12 januari 2024 (in 24 days),138.54,Buy 16 times for,6.35,160.0,101.6,132.29
https://eu.nkon.nl/catl-228ah-228a-lifepo-b-grade.html,Catl,LiFePO4,108.95,228000.0,Not set,16,4220,207.00,1743.2,11.67,LiFePO4,3.2,Out of stock,149.33,Buy 32 times for,97.45,172.89,1559.2,133.57
https://eu.nkon.nl/sony-ncr18650bf-reclaimed.html,Sanyo,NCR18650BF,1.95,3250.0,4.90,15,46,"3,250.00",29.25,0.17,Li-ion,3.6,In stock,166.67,Buy 540 times for,1.57,241.16,23.55,134.19
https://eu.nkon.nl/gotion-ifp52148102-87ah-lifepo4-3-2v.html,Gotion,IFP52148102,40.95,87000.0,87.00,16,1640,120.00,655.2,4.45,LiFePO4,3.2,Expected shipping date: 16 december 2023 (in -3 days),147.09,Buy 32 times for,38.25,169.76,612.0,137.39
https://eu.nkon.nl/rechargeable/li-ion/inr21700-m50l-4800mah-7-2a-clear-wrap.html,**,INR21700-M50L,2.39,4750.0,14.40,15,70,"4,750.00",35.85,0.24,Li-ion,3.6,Out of stock,139.77,No offers,2.39,231.62,35.85,139.77
https://eu.nkon.nl/rechargeable/li-ion/lishen-lr21700sa-4000mah-12a.html,Lishen,LR21700SA,2.35,3900.0,12.00,15,68,"3,900.00",35.25,0.2,Li-ion,3.6,In stock,167.38,Buy 390 times for,1.99,195.76,29.85,141.74
https://eu.nkon.nl/catl-prismatic-302ah-lifepo4-3-2v-b-grade.html,Catl,LF302,144.95,302000.0,302.00,16,5510,302.00,2319.2,15.46,LiFePO4,3.2,Out of stock,149.99,Buy 16 times for,138.05,175.39,2208.8,142.85
https://eu.nkon.nl/inr18650mh1-3100mah-6a-reclaimed.html,**,INR18650MH1,1.99,3100.0,6.00,15,48,"3,100.00",29.85,0.16,Li-ion,3.6,Out of stock,178.32,Buy 400 times for,1.6,220.44,24.0,143.37
https://eu.nkon.nl/e-stream-inr18650-29e-2900mah-4-8a.html,DMEGC,18650,1.75,2750.0,5.80,15,45,5.80,26.25,0.14,Li-ion,3.6,In stock,176.77,Buy 600 times for,1.49,208.59,22.35,150.51
https://eu.nkon.nl/inr18650-m29-2850mah-10a.html,**,INR18650M29,1.99,2750.0,10.00,15,48,"2,750.00",29.85,0.14,Li-ion,3.6,In stock,201.01,Buy 600 times for,1.49,195.56,22.35,150.51
https://eu.nkon.nl/bak-n18650cl-2900mah-8-25a.html,BAK,N18650CL-29,1.99,2800.0,8.25,15,48,"2,800.00",29.85,0.14,Li-ion,3.6,In stock,197.42,Buy 200 times for,1.52,199.11,22.8,150.79
