Brand,WeightGm,Price,Bulk Prices,LC KwH,debug,Voltage,CapacityLabelText,Capacity,MinCapacity_mAh,chemistry,Size,Battery Type,
Samsung,43,1.75,10 @ 1.70  100 @ 1.60  200 @ 1.54  600 @ 1.50 ,208333.33,4,3.6V,Typ. capacity - mAh,2000,1950,Li-ion,18650,"Reclaimed, Flat top",€208.33
JGNE,88,2.99,10 @ 2.85  100 @ 2.75  200 @ 2.65  600 @ 2.55 ,209703.95,4,3.2V,Typ. capacity - mAh,3800,3750,LIFEPO4,26650,Flat top,€209.70
**,48,3.25,10 @ 3.05  35 @ 2.75  200 @ 2.55  600 @ 2.45 ,212673.61,4,3.6V,Typ. capacity - mAh,3200,3100,Li-ion,18650,Flat top,€212.67
Samsung,48,2.45,No Bulk price,212673.61,0,3.6V,Typ. capacity - mAh,3200,3100,Li-ion,18650,Flat top,€212.67
BAK,48,2.99,100 @ 2.83  400 @ 2.68  600 @ 2.58 ,213930.35,3,3.6V,Typ. capacity - mAh,3350,3250,Li-ion,18650,Flat top,€213.93
Molicel,48,3.45,30 @ 3.20  100 @ 3.00  200 @ 2.80  600 @ 2.70 ,214285.71,4,3.6V,Typ. capacity - mAh,3500,3350,Li-ion,18650,Flat top,€214.29
EVE,45,2.29,10 @ 2.09  100 @ 1.99  200 @ 1.89 ,214285.71,3,3.6V,Typ. capacity - mAh,2450,2500,Li-ion,18650,Flat top,€214.29
Sanyo,68,2.95,130 @ 2.75  390 @ 2.55 ,214646.46,2,3.6V,Typ. capacity - mAh,3300,3150,Li-ion,20700,Flat top,€214.65
Samsung,44,2.25,10 @ 2.10  100 @ 1.95 ,216666.67,2,3.6V,Typ. capacity - mAh,2500,2450,Li-ion,18650,Flat top,€216.67
JGNE,87,3.49,10 @ 3.05  100 @ 2.85  200 @ 2.65  400 @ 2.50 ,217013.89,4,3.2V,Typ. capacity - mAh,3600,3550,LIFEPO4,26650,Flat top,€217.01
Samsung,69,2.99,30 @ 2.75  130 @ 2.65  260 @ 2.45  520 @ 2.35 ,217592.59,4,3.6V,Typ. capacity - mAh,3000,2950,Li-ion,21700,Flat top,€217.59
JGNE,42,1.69,10 @ 1.57  100 @ 1.46  200 @ 1.36  600 @ 1.26 ,218750,4,3.2V,Typ. capacity - mAh,1800,1700,LIFEPO4,18650,Flat top,€218.75
JGNE,46,1.49,10 @ 1.39  100 @ 1.29  200 @ 1.22  600 @ 1.14 ,222656.25,4,3.2V,Typ. capacity - mAh,1600,1500,LIFEPO4,18650,Flat top,€222.66
EVE,750,24.99,4 @ 24.50  8 @ 23.90  16 @ 23.50  32 @ 22.90 ,223632.81,4,3.2V,Capacity - Ah,32,Not found,LIFEPO4,no Size,notFound,€223.63
