Product url,Brand,Model,Type,Price,Capacity - mAh,Max Discharge A,Num Cells4V,Weight,Current Ah,min Cost,Kwh for Min cost,Chemistry,Voltage,availability,Cost KwH,LowPriceQty,LowPrice,Density W/KG,LC Min Price,LC KwH
https://eu.nkon.nl/nitecore-18650-nl1835r-usb-3500mah-4a.html,Nitecore,NL1835R,TBA,16.95,3450.0,5.00,15,50,"3,450.00",254.25,0.18,Li-ion,3.6,In stock,1364.73,No offers,16.95,235.52,254.25,1364.73
https://eu.nkon.nl/rechargeable/li-ion/enerpower-18350-imr-limn-700mah-flat-top-battery.html,Enercig,TN18350HP,TBA,3.45,650.0,14.00,15,23,650.00,51.75,0.03,Li-ion,3.6,In stock,1474.36,No offers,3.45,96.46,51.75,1474.36
https://eu.nkon.nl/nitecore-18650-nl1835hp-3500mah-8a.html,Nitecore,NL1835HP,TBA,20.95,3450.0,8.00,15,50,"3,450.00",314.25,0.18,Li-ion,3.6,In stock,1686.8,Buy 100 times for,18.45,235.52,276.75,1485.51
https://eu.nkon.nl/2x-keeppower-18650-3200mah-protected-8a-usb.html,Keeppower,P1832U,TBA,16.95,3150.0,8.00,15,60,"3,150.00",254.25,0.16,Li-ion,3.6,In stock,1494.71,No offers,16.95,179.2,254.25,1494.71
https://eu.nkon.nl/rechargeable/li-ion/kp-imr18350-750.html,Keeppower,UH1835,TBA,3.95,700.0,8.00,15,21,700.00,59.25,0.04,Li-ion,3.6,In stock,1567.46,No offers,3.95,113.78,59.25,1567.46
https://eu.nkon.nl/rechargeable/li-ion/keeppower-14430.html,Keeppower,P1443C,TBA,4.25,600.0,4.00,15,19,600.00,63.75,0.03,Li-ion,3.6,In stock,1967.59,Buy 200 times for,3.45,107.79,51.75,1597.22
https://eu.nkon.nl/rechargeable/li-ion/keeppower-imr-18350-1200mah-10a.html,Keeppower,P1835C2,TBA,6.75,1100.0,10.00,15,26,"1,100.00",101.25,0.06,Li-ion,3.6,In stock,1704.55,No offers,6.75,144.41,101.25,1704.55
https://eu.nkon.nl/2x-keeppower-18650-3500mah-protected-8a-usb.html,Keeppower,P1835U,TBA,20.95,3300.0,8.00,15,96,"3,300.00",314.25,0.17,Li-ion,3.6,In stock,1763.47,No offers,20.95,117.33,314.25,1763.47
https://eu.nkon.nl/olight-18650-3500mah-accu-voor-m2r-x7.html,Olight,ORB-186S35,TBA,23.95,3450.0,10.00,15,47,"3,450.00",359.25,0.18,Li-ion,3.6,In stock,1928.34,No offers,23.95,250.55,359.25,1928.34
https://eu.nkon.nl/rechargeable/li-ion/lir2450-knoopcel-120mah.html,Unbranded,LIR2450,TBA,2.75,120.0,Not set,15,6,24.00,41.25,0.01,Li-ion,3.599555,In stock,6366.53,Buy 1000 times for,0.85,68.27,12.75,1967.84
https://eu.nkon.nl/rechargeable/li-ion/xtar-16340-650mah-protected.html,Xtar,16340 / 123A,TBA,4.95,600.0,1.20,15,19,1.20,74.25,0.03,Li-ion,3.6,In stock,2291.67,Buy 100 times for,4.45,107.79,66.75,2060.19
https://eu.nkon.nl/rechargeable/li-ion/olight-rcr123a-550mah.html,Olight,RCR123A,TBA,7.95,500.0,2.00,15,16,500.00,119.25,0.03,Li-ion,3.6,In stock,4416.67,No offers,7.95,106.67,119.25,4416.67
https://eu.nkon.nl/rechargeable/li-ion/ml2032.html,Maxell,ML2032,TBA,2.95,65.0,Not set,15,3,20.00,44.25,0.0,Li-ion,3.599555,In stock,12608.4,No offers,2.95,73.96,44.25,12608.4
https://eu.nkon.nl/rechargeable/li-ion/maxell-ml2032-1hfn.html,Maxell,ML2032-1HFN,TBA,3.95,65.0,Not set,15,3,20.00,59.25,0.0,Li-ion,3.599555,In stock,16882.43,No offers,3.95,73.96,59.25,16882.43
https://eu.nkon.nl/rechargeable/li-ion/panasonic-vl3032-1f2-z-tag.html,Panasonic,VL3032-1F2,TBA,6.25,100.0,Not set,15,7,30.00,93.75,0.01,Li-ion,3.599555,In stock,17363.26,No offers,6.25,48.76,93.75,17363.26
