Brand,Model,Capacity - mAh:,Discharge Current:,min Cost:,Kwh for Min cost,Chemistry,Price:,Voltage:,availability,Cost KwH:,LowPriceQty:,LowPrice:,Low Cost KwH:
EVE,INR18650-35V,3400.0,"3,400.00",48.300000000000004,0.163199999999999,_Unknown,€3.45,3.6,In stock,281.8627450980393,Buy 600 times for,€2.60,212.4183006535948
DMEGC,18650,2750.0,4.80,30.099999999999998,0.132,_LIFEPO4,€2.15,3.6,In stock,217.17171717171715,Buy 600 times for,€1.79,180.8080808080808
Sony,BM18650Z1,1550.0,"1,550.00",27.86,0.07440000000000001,_Unknown,€1.99,3.6,Out of stock,356.6308243727598,,€1.99,356.6308243727598
DMEGC,18650,2750.0,4.80,32.9,0.132,_LIFEPO4,€2.35,3.6,In stock,237.37373737373736,,€2.20,222.22222222222223
BAK,N18650CP,3250.0,"3,250.00",41.86,0.156,_Unknown,€2.99,3.6,In stock,255.5555555555556,,€2.58,220.51282051282058
**,LGABHG21865,2950.0,"2,950.00",62.300000000000004,0.1416,_Unknown,€4.45,3.6,In stock,419.02071563088515,Buy 600 times for,€3.60,338.9830508474576
Sanyo,NCR20700,3150.0,"3,150.00",37.1,0.1512,_Unknown,€2.65,3.6,In stock,233.68606701940038,,€2.25,198.41269841269843
**,INR21700-M58T,5520.0,"5,520.00",98.7,0.26496000000000003,_Unknown,€7.05,3.6,In stock,354.77053140096626,,€6.45,324.57729468599035
Olight,RCR123A,500.0,500.00,111.3,0.024,_Unknown,€7.95,3.6,Out of stock,4416.666666666667,,€7.95,4416.666666666667
Tenpower,INR18650-25PG,2450.0,"2,450.00",39.9,0.11760000000000001,_Unknown,€2.85,3.6,In stock,323.12925170068024,Buy 400 times for,€2.31,261.9047619047619
**,INR21700-M58T,5520.0,"5,520.00",95.06,0.26496000000000003,_Unknown,€6.79,3.6,In stock,341.68679549114336,,€6.45,324.57729468599035
Maxell,ML2016,1.6,1.60,56.0,7.680000000000002e-05,_Unknown,€3.50,3,In stock,729166.6666666666,,€3.50,729166.6666666666
Maxell,ML2032-1HFN,3.2,3.20,63.2,0.00015360000000000002,_Unknown,€3.95,3,In stock,411458.3333333333,,€3.95,411458.3333333333
**,LGDBM361865,3400.0,"3,400.00",55.86,0.163199999999999,_Unknown,€3.99,3.6,In stock,325.98039215686276,Buy 600 times for,€3.45,281.8627450980393
FDK,ML1220-1HFN,2.0,2.00,47.2,9.6e-05,_Unknown,€2.95,3,Out of stock,491666.6666666667,,€2.95,491666.6666666667
Tenpower,INR21700-50ME,4950.0,"4,950.00",55.86,0.2376,_Unknown,€3.99,3.6,Out of stock,223.9057239057239,Buy 390 times for,€3.15,176.76767676767676
**,INR21700-M58T,5520.0,"5,520.00",65.10000000000001,0.26496000000000003,_Unknown,€4.65,3.6,In stock,233.99758454106288,,€3.95,198.77214170692437
Samsung,INR18650-25S,2450.0,"2,450.00",61.60000000000001,0.11760000000000001,_Unknown,€4.40,3.6,In stock,498.86621315192747,,€4.40,498.86621315192747
Sony / Murata,US18650VTC6,3000.0,"3,000.00",76.3,0.14400000000000002,_Unknown,€5.45,3.6,In stock,504.6296296296296,Buy 200 times for,€4.45,412.03703703703707
**,INR18650MH1,3100.0,"3,100.00",32.9,0.14880000000000002,_Unknown,€2.35,3.6,In stock,210.5734767025089,Buy 600 times for,€1.99,178.3154121863799
Samsung,INR21700-50E,4850.0,"4,850.00",48.300000000000004,0.232799999999999,_Unknown,€3.45,3.6,Out of stock,197.5945017182131,,€3.45,197.5945017182131
Samsung,INR18650-32E,3100.0,"3,100.00",32.9,0.14880000000000002,_Unknown,€2.35,3.6,In stock,210.5734767025089,Buy 400 times for,€1.95,174.7311827956989
Samsung,INR18650-33G,3000.0,6.50,39.9,0.14400000000000002,_Unknown,€2.85,3.6,Out of stock,263.8888888888889,Buy 600 times for,€2.58,238.8888888888889
Samsung,INR18650-29E,2750.0,"2,750.00",31.5,0.132,_Unknown,€2.25,3.6,In stock,227.27272727272725,,€1.95,196.96969696969697
Tenpower,INR18650-32HE,3050.0,"3,050.00",32.9,0.146399999999999,_Unknown,€2.35,3.6,Out of stock,214.02550091074679,Buy 600 times for,€1.88,171.22040072859744
Samsung,INR18650-30Q,2950.0,"2,950.00",39.9,0.1416,_Unknown,€2.85,3.6,In stock,268.361581920904,,€2.85,268.361581920904
