Brand,Model,Capacity - Ah:,Discharge Current:,min Cost:,Kwh for Min cost,Chemistry,Price:,Voltage:,availability,Cost KwH:,LowPriceQty:,LowPrice:,Low Cost KwH:
Samsung,INR18650-30Q,2950.0,"2,950.00",39.9,0.1416,Li-ion,€2.85,3.6,In stock,268.361581920904,,£10000,941619.5856873823
Samsung,INR18650-29E,2750.0,"2,750.00",31.5,0.132,Li-ion,€2.25,3.6,In stock,227.27272727272725,,£10000,1010101.0101010101
Lishen,LR21700SA,3900.0,"3,900.00",32.9,0.187199999999999,Li-ion,€2.35,3.6,In stock,167.37891737891735,Buy 390 times for,€1.99,141.73789173789172
Panasonic,MT920,2.0,2.00,104.0,9.6e-05,Li-ion,€3.25,1.5,In stock,1083333.3333333333,,£10000,3333333333.333333
Lishen,LR1865LA,1900.0,"1,900.00",23.099999999999998,0.091199999999999,Li-ion,€1.65,3.6,In stock,241.2280701754386,,£10000,1461988.3040935674
Samsung,INR18650-20R,1950.0,"1,950.00",24.5,0.093599999999999,Li-ion,€1.75,3.6,In stock,249.28774928774925,,£10000,1424501.4245014244
Keeppower,UH1835P,1100.0,"1,100.00",80.5,0.05280000000000001,Li-ion,€5.75,3.6,Out of stock,1452.020202020202,,£10000,2525252.525252525
Keeppower,P2770C,5500.0,"5,500.00",105.0,0.264,Li-ion,€7.50,3.6,Out of stock,378.78787878787875,,£10000,505050.50505050505
Keeppower,UH1835,700.0,700.00,55.300000000000004,0.033599999999999006,Li-ion,€3.95,3.6,In stock,1567.460317460318,,£10000,3968253.968253969
Keeppower,P1443C,600.0,600.00,59.5,0.028799999999999003,Li-ion,€4.25,3.6,In stock,1967.5925925925926,,£10000,4629629.62962963
Enercig,TN18350HP,650.0,650.00,48.300000000000004,0.031200000000000002,Li-ion,€3.45,3.6,In stock,1474.3589743589746,,£10000,4273504.273504274
Keeppower,P1835C,850.0,850.00,69.3,0.040799999999999004,Li-ion,€4.95,3.6,In stock,1617.6470588235295,,£10000,3267973.8562091505
Unbranded,LIR2450,5.0,5.00,38.5,0.00023999999999900002,Li-ion,€2.75,3.6,In stock,152777.77777777778,,£10000,555555555.5555556
Maxell,ML2032,3.2,3.20,47.2,0.00015360000000000002,Li-ion,€2.95,3.0,In stock,307291.6666666666,,£10000,1041666666.6666666
EagleTac,17650,1550.0,3.00,94.5,0.07440000000000001,Li-ion,€6.75,3.6,In stock,1209.6774193548385,,£10000,1792114.6953405016
Vapcell,INR20650,2900.0,30.00,97.3,0.13920000000000002,Li-ion,€6.95,3.6,Out of stock,665.7088122605364,,£10000,957854.4061302682
Keeppower,P1835C2,1100.0,"1,100.00",94.5,0.05280000000000001,Li-ion,€6.75,3.6,In stock,1704.5454545454545,,£10000,2525252.525252525
Panasonic,VL3032-1F2,3.2,3.20,100.0,0.00015360000000000002,Li-ion,€6.25,3.0,In stock,651041.6666666666,,£10000,1041666666.6666666
Seiko,MS614,6.8,6.80,36.0,0.000326399999999,Li-ion,€2.25,3.0,Out of stock,110294.11764705883,,£10000,490196078.4313726
Keeppower,P1465C,950.0,3.00,69.3,0.045599999999999,Li-ion,€4.95,3.6,In stock,1447.3684210526317,,£10000,2923976.608187135
**,INR21700-M58T,5520.0,"5,520.00",65.10000000000001,0.26496000000000003,Li-ion,€4.65,3.6,In stock,233.99758454106288,,£10000,503220.61191626417
Panasonic,VL2020-WR,2.0,2.00,148.0,9.6e-05,Li-ion,€9.25,3.0,In stock,1541666.6666666665,,£10000,1666666666.6666665
Keeppower,P1750C,1150.0,2.40,69.3,0.055200000000000006,Li-ion,€4.95,3.6,In stock,1195.6521739130437,,£10000,2415458.937198068
Panasonic,VL2020-1VCE,1e-09,20.00,47.2,4.8e-14,Li-ion,€2.95,3.0,In stock,983333333333333.4,,£10000,3.333333333333333e+18
Keeppower,P1665J,2450.0,"2,450.00",122.5,0.11760000000000001,Li-ion,€8.75,3.6,In stock,992.0634920634919,,£10000,1133786.8480725621
Vapcell,INR18350,1100.0,"1,100.00",62.300000000000004,0.05280000000000001,Li-ion,€4.45,3.6,Out of stock,1123.7373737373737,,£10000,2525252.525252525
Xtar,16340 / 123A,600.0,1.20,73.5,0.028799999999999003,Li-ion,€5.25,3.6,In stock,2430.5555555555557,,£10000,4629629.62962963
EagleTac,18350,1250.0,10.00,104.3,0.06,Li-ion,€7.45,3.6,Out of stock,1655.5555555555557,,£10000,2222222.2222222225
