Product url,Brand,Model,Price,Capacity - mAh,Max Discharge A,Num Cells4V,Weight,Current Ah,min Cost,Kwh for Min cost,Chemistry,Voltage,availability,Cost KwH,LowPriceQty,LowPrice,LC Min Price,LC KwH
https://eu.nkon.nl/jgne-26650-3000mah-30a-lifepo4.html,JGNE,HTPFR26650,3.95,2900.0,30.00,16,85,"2,900.00",63.2,0.15,LIFEPO4,3.2,In stock,425.65,Buy 600 times for,3.15,50.4,339.44
https://eu.nkon.nl/sony-us18650vtc4-flat-top.html,Sony,US18650VTC4,2.99,2000.0,30.00,15,46,"2,000.00",44.85,0.1,Li-ion,3.6,In stock,415.28,Buy 600 times for,2.45,36.75,340.28
https://eu.nkon.nl/sony-murata-us18650vtc5c-2500mah-30a.html,Sony / Murata,US18650VTC5C,3.55,2500.0,30.00,15,46,"2,500.00",53.25,0.13,Li-ion,3.6,In stock,394.44,Buy 600 times for,3.15,47.25,350.0
https://eu.nkon.nl/icr18650he4-2500mah.html,**,LGDBHE41865,3.95,2450.0,20.00,15,46,"2,450.00",59.25,0.13,Li-ion,3.6,Out of stock,447.85,Buy 600 times for,3.1,46.5,351.47
https://eu.nkon.nl/sanyo-18650ga-button-top-3444.html,Sanyo,NCR18650GA,5.95,3350.0,10.00,15,49,"3,350.00",89.25,0.17,Li-ion,3.6,Out of stock,493.37,Buy 360 times for,4.29,64.35,355.72
https://eu.nkon.nl/samsung-inr21700-30t-3000mah-35a.html,Samsung,INR21700-30T,4.15,2950.0,35.00,15,69,"2,950.00",62.25,0.15,Li-ion,3.6,In stock,390.77,Buy 390 times for,3.85,57.75,362.52
https://eu.nkon.nl/sony-us18650vtc5-flat-top.html,Sony,US18650VTC5,3.65,2500.0,30.00,15,46,"2,500.00",54.75,0.13,Li-ion,3.6,In stock,405.56,Buy 300 times for,3.4,51.0,377.78
https://eu.nkon.nl/rechargeable/li-ion/keeppower-27700-5700-mah-protected-10a.html,Keeppower,P2770C,7.5,5500.0,10.00,15,102,"5,500.00",112.5,0.28,Li-ion,3.6,Out of stock,378.79,No offers,7.5,112.5,378.79
https://eu.nkon.nl/molicel-inr18650-p28a-2800mah-35a.html,Molicel,INR-18650-P28A,4.99,2800.0,35.00,15,46,"2,800.00",74.85,0.14,Li-ion,3.6,In stock,495.04,Buy 600 times for,3.95,59.25,391.87
https://eu.nkon.nl/sony-murata-us21700vtc6a-4000mah-40a.html,Sony / Murata,US21700VTC6A,6.55,4000.0,40.00,15,73,"4,000.00",98.25,0.2,Li-ion,3.6,In stock,454.86,Buy 200 times for,5.75,86.25,399.31
https://eu.nkon.nl/sony-us18650vtc5a-flat-top.html,Sony,US18650VTC5A,4.25,2500.0,35.00,15,48,"2,500.00",63.75,0.13,Li-ion,3.6,In stock,472.22,Buy 600 times for,3.65,54.75,405.56
https://eu.nkon.nl/panasonic-ncr18650b-made-in-japan.html,Panasonic,NCR18650B,5.15,3250.0,6.70,15,46,"3,250.00",77.25,0.17,Li-ion,3.6,In stock,440.17,Buy 540 times for,4.79,71.85,409.4
https://eu.nkon.nl/rechargeable/li-ion/sony-murata-us18650-vtc6.html,Sony / Murata,US18650VTC6,5.45,3000.0,30.00,15,48,"3,000.00",81.75,0.15,Li-ion,3.6,Expected shipping date: 30 november 2023 (in 22 days),504.63,Buy 200 times for,4.45,66.75,412.04
https://eu.nkon.nl/samsung-inr18650-29e-2900mah-e6-5341.html,Samsung,INR18650-29E,4.39,2750.0,8.25,15,45,"2,750.00",65.85,0.14,Li-ion,3.6,In stock,443.43,Buy 200 times for,4.14,62.1,418.18
https://eu.nkon.nl/molicel-p26a-imr18650-2600mah-5a.html,Molicel,INR-18650-P26A,4.6,2500.0,35.00,15,45,"2,500.00",69.0,0.13,Li-ion,3.6,Out of stock,511.11,Buy 600 times for,3.85,57.75,427.78
https://eu.nkon.nl/18650-hg2-without-warning.html,**,LGABHG21865,5.45,2950.0,20.00,15,45,"2,950.00",81.75,0.15,Li-ion,3.6,Out of stock,513.18,Buy 200 times for,4.59,68.85,432.2
https://eu.nkon.nl/xtar-18650-2200mah-li-ion-battery.html,Xtar,18650,4.45,2180.0,5.00,15,48,5.00,66.75,0.11,Li-ion,3.6,In stock,567.02,Buy 20 times for,3.75,56.25,477.83
https://eu.nkon.nl/sanyo-18650ga-button-top.html,Sanyo,NCR18650GA,5.95,3350.0,10.00,15,50,"3,350.00",89.25,0.17,Li-ion,3.6,In stock,493.37,No offers,5.95,89.25,493.37
https://eu.nkon.nl/samsung-inr18650-25s-2500mah-25a.html,Samsung,INR18650-25S,4.4,2450.0,25.00,15,45,"2,450.00",66.0,0.13,Li-ion,3.6,In stock,498.87,No offers,4.4,66.0,498.87
https://eu.nkon.nl/keeppower-18650-3200-li-ion.html,Keeppower,18650,6.55,3150.0,8.00,15,30,8.00,98.25,0.16,Li-ion,3.6,Out of stock,577.6,Buy 200 times for,5.8,87.0,511.46
https://eu.nkon.nl/molicel-inr21700-p42a-4000mah-45a-button-top.html,Molicel,INR-21700-P42A,7.49,3950.0,45.00,15,72,"3,950.00",112.35,0.2,Li-ion,3.6,In stock,526.72,No offers,7.49,112.35,526.72
https://eu.nkon.nl/inr18650-mj1-buttontop.html,**,INR18650-MJ1,6.45,3400.0,10.00,15,49,"3,400.00",96.75,0.17,Li-ion,3.6,In stock,526.96,No offers,6.45,96.75,526.96
https://eu.nkon.nl/samsung-inr18650-15m.html,Samsung,INR18650-15M,3.45,1450.0,20.00,15,42,"1,450.00",51.75,0.07,Li-ion,3.6,Out of stock,660.92,Buy 600 times for,2.85,42.75,545.98
https://eu.nkon.nl/jgne-18650-1100mah-33a-lifepo4.html,JGNE,18650,2.25,1050.0,33.00,16,40,33.00,36.0,0.05,LIFEPO4,3.2,In stock,669.64,Buy 600 times for,1.95,31.2,580.36
https://eu.nkon.nl/sony-us18650vtc4-button-top.html,Sony,US18650VTC4,4.75,2000.0,30.00,15,47,"2,000.00",71.25,0.1,Li-ion,3.6,In stock,659.72,Buy 50 times for,4.25,63.75,590.28
https://eu.nkon.nl/yinlong-66160h-40ah-lto-400a-2-3v.html,Yinlong,66160H,54.95,40000.0,400.00,23,1250,210.00,1263.85,2.05,LTO,2.3,In stock,597.28,No offers,54.95,1263.85,597.28
https://eu.nkon.nl/xtar-18650-3300mah-protected-10a.html,Xtar,18650,7.95,3300.0,10.00,15,51,10.00,119.25,0.17,Li-ion,3.6,In stock,669.19,Buy 20 times for,7.25,108.75,610.27
https://eu.nkon.nl/molicel-inr18650-p26a-2600mah-35a-button-top.html,Molicel,INR-18650-P26A,5.95,2600.0,35.00,15,51,"2,600.00",89.25,0.13,Li-ion,3.6,In stock,635.68,No offers,5.95,89.25,635.68
https://eu.nkon.nl/sony-konion-us18650vtc6-3120mah-30a-met-button-top.html,Sony,US18650VTC6,6.95,3000.0,30.00,15,48,"3,000.00",104.25,0.15,Li-ion,3.6,Out of stock,643.52,No offers,6.95,104.25,643.52
https://eu.nkon.nl/samsung-icr18650-22p.html,Samsung,ICR18650-22P,4.75,2050.0,10.00,15,44,"2,050.00",71.25,0.1,Li-ion,3.6,Out of stock,643.63,No offers,4.75,71.25,643.63
https://eu.nkon.nl/samsung-inr-18650-30q-3000mah-button-top.html,Samsung,INR18650-30Q,6.95,2950.0,15.00,15,47,"2,950.00",104.25,0.15,Li-ion,3.6,In stock,654.43,No offers,6.95,104.25,654.43
https://eu.nkon.nl/hb2-1500mah-30a.html,**,LGDAHB21865,3.65,1400.0,30.00,15,44,"1,400.00",54.75,0.07,Li-ion,3.6,In stock,724.21,Buy 100 times for,3.3,49.5,654.76
https://eu.nkon.nl/sony-konion-us18650vtc5-2600mah-30a-met-button-top.html,Sony,US18650VTC5,5.95,2500.0,30.00,15,47,"2,500.00",89.25,0.13,Li-ion,3.6,Out of stock,661.11,No offers,5.95,89.25,661.11
https://eu.nkon.nl/xtar-18650-2600mah-protected.html,Xtar,18650,6.95,2550.0,5.20,15,47,5.20,104.25,0.13,Li-ion,3.6,In stock,757.08,Buy 20 times for,6.45,96.75,702.61
https://eu.nkon.nl/molicel-inr18650-p28a-2800mah-35a-button-top.html,Molicel,INR-18650-P28A,7.49,2800.0,35.00,15,51,"2,800.00",112.35,0.14,Li-ion,3.6,Out of stock,743.06,No offers,7.49,112.35,743.06
https://eu.nkon.nl/keeppower-21700-5000mah-10a-protected-li-ion-battery.html,Keeppower,P2150K,13.45,4950.0,10.00,15,70,"4,950.00",201.75,0.25,Li-ion,3.6,Out of stock,754.77,No offers,13.45,201.75,754.77
https://eu.nkon.nl/keeppower-18650-2900mah.html,Keeppower,P1829J,9.45,2850.0,8.00,15,55,"2,850.00",141.75,0.15,Li-ion,3.6,In stock,921.05,Buy 100 times for,7.75,116.25,755.36
https://eu.nkon.nl/keeppower-18650-3500-li-ion-flat-top.html,Keeppower,P1835J,11.45,3450.0,10.00,15,50,"3,450.00",171.75,0.18,Li-ion,3.6,In stock,921.9,Buy 90 times for,9.45,141.75,760.87
https://eu.nkon.nl/nitecore-18650-nl1823-2300mah-2a.html,Nitecore,NL1823,7.75,2250.0,2.00,15,48,"2,250.00",116.25,0.12,Li-ion,3.6,Out of stock,956.79,Buy 200 times for,6.25,93.75,771.6
https://eu.nkon.nl/samsung-18650-inr18650-25r-button-top.html,Samsung,INR18650-25R,6.95,2450.0,20.00,15,48,"2,450.00",104.25,0.13,Li-ion,3.6,In stock,787.98,No offers,6.95,104.25,787.98
